"Title:","All Employees from the Current Employment Statistics Database"
"SubTitle:","USA - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/1939 - 10/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-10). Current Employment Statistics: All Employees | Construction | Information | N/A Construction | 236 Construction of buildings | 237 Heavy and civil engineering construction | 2373 Highway, street, and bridge construction | 511 Publishing industries, except Internet | 5112 Software publishers | 512 Motion picture and sound recording industries | 515 Broadcasting, except Internet | 518 Data processing, hosting and related services | Non-Seasonally Adjusted, 01/1939 - 10/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-021-001 doi:https://doi.org/10.6068/DP184A0C1638753"
"ColumnCount:",10
"RowCount:",1006

"Time","Construction, N/A Construction, Non-Seasonally Adjusted, (000)","Construction, 236 Construction of buildings, Non-Seasonally Adjusted, (000)","Construction, 237 Heavy and civil engineering construction, Non-Seasonally Adjusted, (000)","Construction, 2373 Highway, street, and bridge construction, Non-Seasonally Adjusted, (000)","Information, 511 Publishing industries, except Internet, Non-Seasonally Adjusted, (000)","Information, 5112 Software publishers, Non-Seasonally Adjusted, (000)","Information, 512 Motion picture and sound recording industries, Non-Seasonally Adjusted, (000)","Information, 515 Broadcasting, except Internet, Non-Seasonally Adjusted, (000)","Information, 518 Data processing, hosting and related services, Non-Seasonally Adjusted, (000)"
"08/1980",4670000,,,,,,,,
"09/1980",4645000,,,,,,,,
"10/1980",4647000,,,,,,,,
"11/1980",4553000,,,,,,,,
"12/1980",4381000,,,,,,,,
"01/1981",4000000,,,,,,,,
"02/1981",3910000,,,,,,,,
"03/1981",4049000,,,,,,,,
"04/1981",4249000,,,,,,,,
"05/1981",4360000,,,,,,,,
"06/1981",4482000,,,,,,,,
"07/1981",4553000,,,,,,,,
"08/1981",4568000,,,,,,,,
"09/1981",4503000,,,,,,,,
"10/1981",4475000,,,,,,,,
"11/1981",4356000,,,,,,,,
"12/1981",4142000,,,,,,,,
"01/1982",3703000,,,,,,,,
"02/1982",3687000,,,,,,,,
"03/1982",3760000,,,,,,,,
"04/1982",3916000,,,,,,,,
"05/1982",4107000,,,,,,,,
"06/1982",4198000,,,,,,,,
"07/1982",4255000,,,,,,,,
"08/1982",4268000,,,,,,,,
"09/1982",4217000,,,,,,,,
"10/1982",4176000,,,,,,,,
"11/1982",4093000,,,,,,,,
"12/1982",3907000,,,,,,,,
"01/1983",3656000,,,,,,,,
"02/1983",3517000,,,,,,,,
"03/1983",3588000,,,,,,,,
"04/1983",3780000,,,,,,,,
"05/1983",3973000,,,,,,,,
"06/1983",4177000,,,,,,,,
"07/1983",4313000,,,,,,,,
"08/1983",4398000,,,,,,,,
"09/1983",4401000,,,,,,,,
"10/1983",4415000,,,,,,,,
"11/1983",4358000,,,,,,,,
"12/1983",4199000,,,,,,,,
"01/1984",3941000,,,,,,,,
"02/1984",3954000,,,,,,,,
"03/1984",4033000,,,,,,,,
"04/1984",4259000,,,,,,,,
"05/1984",4475000,,,,,,,,
"06/1984",4681000,,,,,,,,
"07/1984",4799000,,,,,,,,
"08/1984",4852000,,,,,,,,
"09/1984",4845000,,,,,,,,
"10/1984",4829000,,,,,,,,
"11/1984",4750000,,,,,,,,
"12/1984",4598000,,,,,,,,
"01/1985",4298000,,,,,,,,
"02/1985",4195000,,,,,,,,
"03/1985",4362000,,,,,,,,
"04/1985",4606000,,,,,,,,
"05/1985",4815000,,,,,,,,
"06/1985",4965000,,,,,,,,
"07/1985",5067000,,,,,,,,
"08/1985",5136000,,,,,,,,
"09/1985",5121000,,,,,,,,
"10/1985",5112000,,,,,,,,
"11/1985",5008000,,,,,,,,
"12/1985",4829000,,,,,,,,
"01/1986",4531000,,,,,,,,
"02/1986",4424000,,,,,,,,
"03/1986",4538000,,,,,,,,
"04/1986",4797000,,,,,,,,
"05/1986",4960000,,,,,,,,
"06/1986",5098000,,,,,,,,
"07/1986",5206000,,,,,,,,
"08/1986",5265000,,,,,,,,
"09/1986",5207000,,,,,,,,
"10/1986",5199000,,,,,,,,
"11/1986",5087000,,,,,,,,
"12/1986",4932000,,,,,,,,
"01/1987",4622000,,,,,,,,
"02/1987",4550000,,,,,,,,
"03/1987",4655000,,,,,,,,
"04/1987",4904000,,,,,,,,
"05/1987",5118000,,,,,,,,
"06/1987",5274000,,,,,,,,
"07/1987",5378000,,,,,,,,
"08/1987",5432000,,,,,,,,
"09/1987",5362000,,,,,,,,
"10/1987",5386000,,,,,,,,
"11/1987",5281000,,,,,,,,
"12/1987",5112000,,,,,,,,
"01/1988",4703000,,,,,,,,
"02/1988",4668000,,,,,,,,
"03/1988",4812000,,,,,,,,
"04/1988",5079000,,,,,,,,
"05/1988",5263000,,,,,,,,
"06/1988",5457000,,,,,,,,
"07/1988",5566000,,,,,,,,
"08/1988",5604000,,,,,,,,
"09/1988",5538000,,,,,,,,
"10/1988",5502000,,,,,,,,
"11/1988",5401000,,,,,,,,
"12/1988",5205000,,,,,,,,
"01/1989",4891000,,,,,,,,
"02/1989",4785000,,,,,,,,
"03/1989",4866000,,,,,,,,
"04/1989",5143000,,,,,,,,
"05/1989",5334000,,,,,,,,
"06/1989",5499000,,,,,,,,
"07/1989",5617000,,,,,,,,
"08/1989",5671000,,,,,,,,
"09/1989",5597000,,,,,,,,
"10/1989",5586000,,,,,,,,
"11/1989",5490000,,,,,,,,
"12/1989",5231000,,,,,,,,
"01/1990",4974000,1384600,695900,206100,861800,93400,239500,281600,215000
"02/1990",4933000,1368800,699800,209400,863100,93600,241100,283000,215300
